id,idn,sim
5030201,4487399,0.8181818
4106429,4073875,0.8181818
6636541,6202878,0.8181818
1798583,1793313,0.8181818
5615172,5504113,0.8181818
7030151,6966077,0.8181818
4013611,697,0.8181818
309915,300923,0.8181818
512967,422508,0.8181818
5725666,4076166,0.8186813
2886689,386,0.81904763
3111287,2813742,0.81914896
13816,7469,0.8192771
2140253,1991445,0.8194444
656362,397888,0.8196721
1200003,309002,0.8196721
6457700,4496304,0.8196721
4864511,3788928,0.8198198
1350145,1217070,0.82
2310667,1687259,0.82
4122923,4115433,0.82
6737816,5774779,0.82
4309103,4170203,0.82
5506341,5061632,0.82
5589690,459857,0.82
2660537,1897307,0.8202247
6642144,6513288,0.8202765
7121590,339646,0.82051283
3533527,1505204,0.82051283
3184191,906891,0.82051283
2799508,1197402,0.82051283
4148598,3994307,0.82051283
6539892,5282533,0.82051283
6078693,6076366,0.82051283
6965529,6940287,0.8206522
2315557,2312425,0.8208955
4715889,4665079,0.8208955
6910225,2109232,0.8210526
919094,797962,0.8214286
6154938,2635452,0.8214286
2541662,1220296,0.8214286
5072227,3404444,0.8214286
5467087,5183392,0.8214286
5873372,5616386,0.8214286
7062417,7034707,0.8216216
2304936,2279034,0.82165605
591285,314240,0.82173914
2747908,17076,0.8217822
5466045,4344339,0.8218391
2333283,1093755,0.82191783
4153951,3976697,0.82191783
2011351,1988484,0.82198954
6935081,5773483,0.8220339
3961326,3512161,0.8220859
3370648,2733787,0.82222223
4101079,3196674,0.82222223
5715721,5499097,0.82222223
4572472,4567589,0.82222223
4938845,4702128,0.82222223
886321,12780,0.8224299
899427,432078,0.8224299
2699613,2405179,0.82258064
109480,71525,0.8227848
807810,349803,0.8227848
3619174,3551230,0.8227848
6345309,1206645,0.82298136
2177049,84505,0.82300884
6151328,5512486,0.8230769
3951695,3736658,0.8232044
4080476,218325,0.8235294
671032,496536,0.8235294
3640320,1496641,0.8235294
1784837,1488290,0.8235294
4115351,2647837,0.8235294
4567590,3724913,0.8235294
4268069,3298444,0.8235294
5512408,5310132,0.8235294
5205667,4075357,0.8235294
4255436,4170203,0.8235294
5099076,5085190,0.8235294
3038911,1220875,0.8235294
680858,6636,0.824
3468310,3467402,0.82417583
3833058,1173970,0.8243243
5080234,658587,0.8245614
6260369,266,0.8245614
3513634,2958638,0.8245614
5614813,4158258,0.8245614
1567672,6720,0.825
1233648,894463,0.825
5513494,3111194,0.825
4493131,4376140,0.825
5503531,4613472,0.825
5020591,4998048,0.825
208956,166418,0.825
1014581,896620,0.8252427
1202883,1197921,0.8252427
1994057,397741,0.82539684
6478142,5452863,0.8255814
4336193,4331971,0.82568806
1358677,1197464,0.8258427
6527229,1471433,0.82608694
3640188,2895413,0.82608694
6155659,1937222,0.82608694
3894467,2656921,0.82608694
3962430,2656921,0.82608694
4224066,3175921,0.82608694
4371804,4357588,0.82608694
6636528,4937591,0.82608694
4706243,4701465,0.82608694
7063071,7019189,0.82608694
5067226,1989702,0.82631576
6056971,5895842,0.8263473
2016237,1200062,0.8263889
5293716,166956,0.8264463
6111734,2461613,0.82653064
4804132,4791495,0.82666665
978604,276957,0.82666665
455123,192486,0.8267717
5296806,5021046,0.8269231
995000,586566,0.8269231
1901982,285418,0.827027
6938899,6310987,0.82733816
6423027,385614,0.82758623
861790,398343,0.82758623
6496,164,0.82758623
6216919,3159165,0.82758623
2214979,1816586,0.82758623
6910212,4157562,0.82758623
6189744,2984048,0.82758623
5777614,4277411,0.82758623
5715256,5540947,0.82758623
6753286,6672087,0.82758623
4001767,29478,0.82758623
4764080,894467,0.8278689
894467,386289,0.828125
1797593,1144593,0.828125
2831717,2579887,0.828125
4174754,3551184,0.828125
475930,372123,0.828125
1649351,1518817,0.82857144
4045960,3715915,0.82857144
3997637,3507591,0.82857144
4045960,3997637,0.82857144
4202654,156923,0.82901555
6419546,6727,0.8292683
1378784,264626,0.8292683
3015105,2127933,0.82945734
2778394,2567147,0.82978725
1197341,1588,0.8298969
2258124,2011351,0.83
4998561,4828489,0.83
5048142,4339982,0.8300971
5315739,5021046,0.8300971
1713242,1345418,0.8301887
3858233,2756358,0.8301887
4538618,4538107,0.8301887
7030152,6923281,0.8301887
2499271,2166599,0.83035713
19746,9610,0.8305085
2967467,1897342,0.8305085
5182630,5093453,0.8305085
5977916,5093453,0.8305085
4171030,1378094,0.8306878
5244805,508875,0.83076924
475930,397888,0.83076924
475930,309002,0.83076924
4598440,3403842,0.83076924
6423451,3346259,0.83076924
1285532,1275147,0.8310502
6098574,364335,0.8310502
2783130,2554578,0.83111113
3213504,1802146,0.83157897
3776633,3737054,0.83168316
3570595,3438316,0.832
1539215,1379320,0.8321168
5709053,5354877,0.8321678
5596877,5191810,0.83225805
4702190,3171504,0.83229816
6053023,9673,0.83229816
1760735,1513734,0.8324022
3009794,2605765,0.83272725
661242,5295,0.8333333
1194181,5295,0.8333333
1220485,570425,0.8333333
3307669,386094,0.8333333
710157,372359,0.8333333
661242,5296,0.8333333
1194181,5296,0.8333333
4118940,359730,0.8333333
996270,266348,0.8333333
6102331,6083081,0.8333333
212426,156816,0.8333333
1691915,1228202,0.8333333
2861595,1645337,0.8333333
